pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/24/2020,,256,0,3,256,7105,,207,80.86,13608,,0,0,49.03,0.57,0,1.17,243,,2,17.97,46,8.81,17,3.26,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,4/24/2020,,118,0,0,118,11908,,107,90.68,15238,,0,0,15.1,0,0,0,292,,3,9.32,11,1.41,6,0.77,0,0,1,0.13,0,0,0,0.02,0,0
12,Nova Scotia,Nouvelle-Écosse,4/24/2020,,850,0,16,850,25658,,392,46.12,26199,,23,2.78,86.79,1.63,0,1.88,774,,34,52,442,45.13,443,45.23,14,1.43,244,24.91,12,1.23,35,3.56,2,0.18
11,Prince Edward Island,Île-du-Prince-Édouard,4/24/2020,,26,0,0,26,2564,,24,92.31,16063,,0,0,16.29,0,0,0,98,,0,7.69,2,1.25,1,0.63,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,4/24/2020,,11,0,0,11,888,,8,72.73,21117,,0,0,26.16,0,0,0,7,,0,27.27,3,7.13,3,7.13,0,0,2,4.76,0,0,0,0.68,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/24/2020,,5,0,0,5,1537,,5,100,34034,,0,0,11.07,0,0,0,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Canada,Canada,4/24/2020,,43877,11,2307,43888,660184,,15541,35.41,17371,,1778,4.22,115.48,6.07,156,5.26,25191,,780,59.33,26040,68.52,21740,57.2,1738,4.57,12004,31.59,993,2.61,1715,4.51,142,0.37
59,British Columbia,Colombie-Britannique,4/25/2020,,1948,0,100,1948,63039,,1137,58.37,12246,,95,5.13,37.84,1.94,2,5.13,2567,,23,36.5,711,13.81,503,9.77,42,0.82,330,6.41,22,0.43,47,0.92,3,0.06
48,Alberta,Alberta,4/25/2020,,4233,0,73,4233,121244,,1471,34.75,27419,,216,5.38,95.73,1.65,1,1.72,4385,,74,63.52,2689,60.81,2664,60.25,33,0.75,1671,37.79,22,0.5,239,5.4,3,0.07
47,Saskatchewan,Saskatchewan,4/25/2020,,347,2,4,349,25697,,288,82.52,21801,,8,2.35,29.61,0.34,0,1.15,556,,8,16.33,57,4.84,60,5.09,0,0,36,3.05,0,0,5,0.44,0,0
46,Manitoba,Manitoba,4/25/2020,,256,11,6,267,21720,,199,74.53,15748,,4,1.52,19.36,0.44,0,2.25,0,,3,23.22,62,4.5,24,1.74,2,0.15,14,1.02,1,0.07,2,0.15,0,0.01
35,Ontario,Ontario,4/25/2020,,13995,0,816,13995,210502,,7509,53.65,14287,,476,3.52,94.98,5.54,48,5.83,10232,,422,40.51,5670,38.48,7347,49.86,563,3.82,3985,27.05,297,2.02,569,3.86,42,0.29
24,Quebec,Québec,4/25/2020,,23267,0,1446,23267,190765,,5057,21.73,22248,,651,2.88,271.35,16.86,106,6.21,5133,,333,72.05,16764,195.51,10975,127.99,1157,13.49,5746,67.01,641,7.48,821,9.57,92,1.07
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/25/2020,,257,0,3,257,7332,,208,80.93,14043,,1,0.39,49.22,0.57,0,1.17,227,,1,17.9,46,8.81,16,3.06,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,4/25/2020,,118,0,0,118,12279,,107,90.68,15713,,0,0,15.1,0,0,0,371,,0,9.32,11,1.41,6,0.77,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,4/25/2020,,865,0,22,865,26320,,412,47.63,26875,,15,1.76,88.32,2.25,6,2.54,662,,20,49.83,431,44.01,437,44.62,20,2.04,216,22.06,15,1.53,31,3.15,2,0.22
11,Prince Edward Island,Île-du-Prince-Édouard,4/25/2020,,26,0,0,26,2564,,24,92.31,16063,,0,0,16.29,0,0,0,0,,0,7.69,2,1.25,1,0.63,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,4/25/2020,,11,0,0,11,894,,8,72.73,21259,,0,0,26.16,0,0,0,6,,0,27.27,3,7.13,3,7.13,0,0,2,4.76,0,0,0,0.68,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/25/2020,,5,0,0,5,1554,,5,100,34410,,0,0,11.07,0,0,0,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Canada,Canada,4/25/2020,,45341,13,2470,45354,684347,,16425,36.22,18007,,1466,3.34,119.34,6.5,163,5.45,24163,,884,58.34,26459,69.62,22036,57.98,1817,4.78,12000,31.57,998,2.63,1714,4.51,143,0.38
59,British Columbia,Colombie-Britannique,4/26/2020,,1948,0,100,1948,64700,,1137,58.37,12569,,0,0,37.84,1.94,0,5.13,1661,,0,36.5,711,13.81,503,9.77,42,0.82,330,6.41,22,0.43,47,0.92,3,0.06
48,Alberta,Alberta,4/26/2020,,4480,0,73,4480,125310,,1549,34.58,28339,,247,5.84,101.31,1.65,0,1.63,4066,,78,63.79,2858,64.63,2829,63.98,29,0.66,1918,43.38,22,0.5,274,6.2,3,0.07
47,Saskatchewan,Saskatchewan,4/26/2020,,353,0,4,353,25697,,288,81.59,21801,,4,1.15,29.95,0.34,0,1.13,0,,0,17.28,61,5.18,55,4.67,0,0,38,3.22,0,0,5,0.46,0,0
46,Manitoba,Manitoba,4/26/2020,,260,11,6,271,21720,,199,73.43,15748,,4,1.5,19.65,0.44,0,2.21,0,,0,24.35,66,4.79,29,2.1,2,0.15,18,1.31,1,0.07,3,0.19,0,0.01
35,Ontario,Ontario,4/26/2020,,14432,0,840,14432,222129,,8000,55.43,15076,,437,3.12,97.95,5.7,24,5.82,11627,,491,38.75,5592,37.95,7383,50.11,566,3.84,3854,26.16,282,1.91,551,3.74,40,0.27
24,Quebec,Québec,4/26/2020,,24107,0,1515,24107,195577,,5342,22.16,22809,,840,3.61,281.15,17.67,69,6.28,4812,,285,71.56,17250,201.18,11261,131.33,1187,13.84,5750,67.06,638,7.44,821,9.58,91,1.06
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/26/2020,,258,0,3,258,7440,,219,84.88,14250,,1,0.39,49.42,0.57,0,1.16,108,,11,13.95,36,6.9,16,3.06,0,0,1,0.19,0,0,0,0.03,0,0
13,New Brunswick,Nouveau-Brunswick,4/26/2020,,118,0,0,118,12525,,111,94.07,16027,,0,0,15.1,0,0,0,246,,4,5.93,7,0.9,4,0.51,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,4/26/2020,,873,0,24,873,26871,,439,50.29,27438,,8,0.92,89.14,2.45,2,2.75,551,,27,46.96,410,41.86,428,43.7,22,2.25,198,20.22,15,1.53,28,2.89,2,0.22
11,Prince Edward Island,Île-du-Prince-Édouard,4/26/2020,,26,0,0,26,2688,,24,92.31,16839,,0,0,16.29,0,0,0,124,,0,7.69,2,1.25,1,0.63,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,4/26/2020,,11,0,0,11,908,,8,72.73,21592,,0,0,26.16,0,0,0,14,,0,27.27,3,7.13,3,7.13,0,0,2,4.76,0,0,0,0.68,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/26/2020,,5,0,0,5,1575,,5,100,34875,,0,0,11.07,0,0,0,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Canada,Canada,4/26/2020,,46884,11,2565,46895,707584,,17321,36.94,18618,,1541,3.4,123.39,6.75,95,5.47,23237,,896,57.59,27009,71.07,22512,59.23,1848,4.86,12109,31.86,980,2.58,1730,4.55,140,0.37
59,British Columbia,Colombie-Britannique,4/27/2020,,1998,0,103,1998,67289,,1190,59.56,13072,,50,2.57,38.81,2,3,5.16,2589,,53,35.29,705,13.7,508,9.87,34,0.66,299,5.81,17,0.33,43,0.83,2,0.05
48,Alberta,Alberta,4/27/2020,,4696,0,75,4696,128860,,1664,35.43,29141,,216,4.82,106.2,1.7,2,1.6,3550,,115,62.97,2957,66.87,2964,67.03,29,0.66,1788,40.44,16,0.36,255,5.78,2,0.05
47,Saskatchewan,Saskatchewan,4/27/2020,,365,0,5,365,26642,,288,78.9,22603,,12,3.4,30.97,0.42,1,1.37,945,,0,19.73,72,6.11,65,5.51,1,0.08,49,4.16,1,0.08,7,0.59,0,0.01
46,Manitoba,Manitoba,4/27/2020,,261,11,6,272,23149,,205,75.37,16784,,1,0.37,19.72,0.44,0,2.21,1429,,6,22.43,61,4.42,26,1.89,2,0.15,18,1.31,0,0,3,0.19,0,0
35,Ontario,Ontario,4/27/2020,,14856,0,897,14856,234268,,8525,57.38,15900,,424,2.94,100.83,6.09,57,6.04,12139,,525,36.58,5434,36.88,7386,50.13,606,4.11,3672,24.92,308,2.09,525,3.56,44,0.3
24,Quebec,Québec,4/27/2020,,24982,0,1599,24982,200172,,5517,22.08,23345,,875,3.63,291.35,18.65,84,6.4,4595,,175,71.52,17866,208.36,11425,133.24,1239,14.45,5663,66.04,660,7.7,809,9.43,94,1.1
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/27/2020,,258,0,3,258,7641,,221,85.66,14635,,0,0,49.42,0.57,0,1.16,201,,2,13.18,34,6.51,14,2.68,0,0,1,0.19,0,0,0,0.03,0,0
13,New Brunswick,Nouveau-Brunswick,4/27/2020,,118,0,0,118,12648,,112,94.92,16185,,0,0,15.1,0,0,0,123,,1,5.08,6,0.77,2,0.26,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,4/27/2020,,900,0,24,900,27437,,509,56.56,28015,,27,3.09,91.9,2.45,0,2.67,566,,70,40.78,367,37.47,426,43.5,21,2.14,179,18.28,15,1.53,26,2.61,2,0.22
11,Prince Edward Island,Île-du-Prince-Édouard,4/27/2020,,26,0,0,26,2726,,24,92.31,17078,,0,0,16.29,0,0,0,38,,0,7.69,2,1.25,1,0.63,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,4/27/2020,,11,0,0,11,919,,8,72.73,21854,,0,0,26.16,0,0,0,11,,0,27.27,3,7.13,3,7.13,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,4/27/2020,,5,0,0,5,1585,,5,100,35097,,0,0,11.07,0,0,0,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Canada,Canada,4/27/2020,,48489,11,2712,48500,733781,,18268,37.67,19307,,1605,3.42,127.61,7.14,147,5.59,26197,,947,56.74,27520,72.41,22820,60.04,1932,5.08,11669,30.7,1017,2.68,1667,4.39,145,0.38
59,British Columbia,Colombie-Britannique,4/28/2020,,2053,0,105,2053,68935,,1231,59.96,13391,,55,2.75,39.88,2.04,2,5.11,1646,,41,34.92,717,13.93,536,10.41,33,0.64,329,6.39,18,0.35,47,0.91,3,0.05
48,Alberta,Alberta,4/28/2020,,4850,0,80,4850,131772,,1800,37.11,29800,,154,3.28,109.68,1.81,5,1.65,2912,,136,61.24,2970,67.17,2980,67.39,32,0.72,1755,39.69,19,0.43,251,5.67,3,0.06
47,Saskatchewan,Saskatchewan,4/28/2020,,366,0,5,366,26915,,291,79.51,22835,,1,0.27,31.05,0.42,0,1.37,273,,3,19.13,70,5.94,65,5.51,1,0.08,46,3.9,1,0.08,7,0.56,0,0.01
46,Manitoba,Manitoba,4/28/2020,,261,11,6,272,23379,,209,76.84,16950,,0,0,19.72,0.44,0,2.21,230,,4,20.96,57,4.13,26,1.89,2,0.15,17,1.23,0,0,2,0.18,0,0
35,Ontario,Ontario,4/28/2020,,15381,0,956,15381,244766,,8964,58.28,16612,,525,3.53,104.39,6.49,59,6.22,10498,,439,35.5,5461,37.06,7428,50.41,622,4.22,3646,24.75,329,2.23,521,3.54,47,0.32
24,Quebec,Québec,4/28/2020,,25757,0,1682,25757,204472,,5841,22.68,23846,,775,3.1,300.39,19.62,83,6.53,4300,,324,70.79,18234,212.65,11509,134.22,1247,14.54,5631,65.67,641,7.48,804,9.38,92,1.07
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/28/2020,,258,0,3,258,7905,,222,86.05,15141,,0,0,49.42,0.57,0,1.16,264,,1,12.79,33,6.32,14,2.68,0,0,1,0.19,0,0,0,0.03,0,0
13,New Brunswick,Nouveau-Brunswick,4/28/2020,,118,0,0,118,12907,,114,96.61,16516,,0,0,15.1,0,0,0,259,,2,3.39,4,0.51,2,0.26,0,0,0,0,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,4/28/2020,,915,0,27,915,28108,,522,57.05,28701,,15,1.67,93.43,2.76,3,2.95,671,,13,40,366,37.37,398,40.64,24,2.45,178,18.18,17,1.74,25,2.6,2,0.25
