pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
46,Manitoba,Manitoba,5/23/2020,,281,11,7,292,37025,,268,91.78,26844,,0,0,21.17,0.51,0,2.4,435,,1,5.82,17,1.23,8,0.58,0,0,3,0.22,0,0,0,0.03,0,0
35,Ontario,Ontario,5/23/2020,,25040,0,2058,25040,580366,,19146,76.46,39390,,412,1.67,169.95,13.97,27,8.22,10667,,379,15.32,3836,26.03,5096,34.59,454,3.08,2727,18.51,190,1.29,390,2.64,27,0.18
24,Quebec,Québec,5/23/2020,,46838,0,3940,46838,370820,,14044,29.98,43246,,697,1.51,546.24,45.95,75,8.41,9192,,225,61.6,28854,336.51,9852,114.9,1154,13.46,4655,54.29,457,5.33,665,7.76,65,0.76
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,5/23/2020,,260,0,3,260,11207,,254,97.69,21465,,0,0,49.8,0.57,0,1.15,111,,1,1.15,3,0.57,-1,-0.19,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,5/23/2020,,121,0,0,121,20563,,120,99.17,26313,,0,0,15.48,0,0,0,254,,0,0.83,1,0.13,1,0.13,0,0,1,0.13,0,0,0,0.02,0,0
12,Nova Scotia,Nouvelle-Écosse,5/23/2020,,1049,0,58,1049,38972,,969,92.37,39794,,1,0.1,107.11,5.92,0,5.53,359,,8,2.1,22,2.25,38,3.88,11,1.12,12,1.23,3,0.31,2,0.18,0,0.04
11,Prince Edward Island,Île-du-Prince-Édouard,5/23/2020,,27,0,0,27,5380,,27,100,33704,,0,0,16.91,0,0,0,179,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Yukon,Yukon,5/23/2020,,11,0,0,11,1145,,11,100,27228,,0,0,26.16,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,5/23/2020,,5,0,0,5,1906,,5,100,42205,,0,0,11.07,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Canada,Canada,5/23/2020,,83610,11,6365,83621,1431987,,43318,51.8,37679,,1141,1.38,220.02,16.75,105,7.61,26703,,711,40.59,33938,89.3,15919,41.89,1667,4.39,7757,20.41,676,1.78,1108,2.92,97,0.25
